,Trait,SSP126,SSP370,SSP585
0,wood_density,0.05154440890444863,0.0812508222641448,0.09618432566904032
1,root_depth,0.07081216185178389,0.11579689437768774,0.11931029350234014
2,leaf_n,0.019827207741162468,0.04904586122875674,0.041221139538197164
3,leaf_p,0.008953152764735548,0.02028938209959591,-0.012057902765072247
4,stem_diameter,-0.013543780721472455,-0.038230162705156834,-0.052556638679001566
5,bark_thickness,0.018166690398477195,0.0010777012314463971,0.021393196696618735
6,seed_dry_mass,0.12916360880309805,0.1897234070815137,0.21108321300018257
7,leaf_k,0.03988725588313773,0.0638361124172098,0.05816372591525856
8,stomatal_conduct.,0.028549062094339286,0.10896217046549016,0.11441279016043701
9,leaf_thickness,-0.0075176037617150915,0.003823229603176904,0.00931516410216604
10,leaf_density,0.03135442811831515,0.0466397334413353,0.041238901665372495
11,leaf_vcmax,0.005537205593570954,0.017281514376993354,0.009661668486045416
12,conduit_diam.,0.056164143705817855,0.11402183459025447,0.1250284332224614
13,crown_diameter,0.03870196794221332,0.04896155080419194,0.07664767117328969
14,crown_height,-0.017308546368678176,-0.04481592180749756,-0.04775576822336976
15,tree_height,-0.05885537798311505,-0.14697197364077247,-0.1709360089933913
16,leaf_area,0.020990565010562144,0.024681073984979016,0.027469903628170644
17,specific_leaf_area,0.012225511210612015,0.012985438544863358,0.0005361966333216908
18,myco_association,0.03824450746222013,0.11023349416825665,0.10275127855708815
19,shade,-0.08198704932069123,-0.1468003795753977,-0.18331771520835727
20,drought,0.07291620931224296,0.11730971453258962,0.15148137628704061
21,cold,-0.12622054024499024,-0.2165540341516245,-0.28449866875543894
22,water,-0.006636563878844716,0.030246649718272303,0.02179679251834678
23,fire_tol,0.040020794072063805,0.031956870818749254,0.05094336645312063
