,SSP126
wood_density,0.05154440890444863
root_depth,0.07081216185178389
leaf_n,0.019827207741162468
leaf_p,0.008953152764735548
stem_diameter,-0.013543780721472455
bark_thickness,0.018166690398477195
seed_dry_mass,0.12916360880309805
leaf_k,0.03988725588313773
stomatal_conduct.,0.028549062094339286
leaf_thickness,-0.0075176037617150915
leaf_density,0.03135442811831515
leaf_vcmax,0.005537205593570954
conduit_diam.,0.056164143705817855
crown_diameter,0.03870196794221332
crown_height,-0.017308546368678176
tree_height,-0.05885537798311505
leaf_area,0.020990565010562144
specific_leaf_area,0.012225511210612015
myco_association,0.03824450746222013
shade,-0.08198704932069123
drought,0.07291620931224296
cold,-0.12622054024499024
water,-0.006636563878844716
fire_tol,0.040020794072063805
